epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1796.62,0.4187,0.50292,0.34448,0.81071,0.98386,0.96768,0.98617,0.94377,0.98386,0.96768,0.98617,0.92008,0.31647,0.33686,0.27646,0.78513,0.00088516,0.00088516,0.00088516
31,1856.02,0.41185,0.50609,0.33833,0.81041,0.9831,0.95767,0.98421,0.949,0.98854,0.96296,0.98815,0.92748,0.30138,0.32098,0.27035,0.78379,0.0008812,0.0008812,0.0008812
32,1915.45,0.41531,0.49675,0.35154,0.80312,0.98923,0.97223,0.98718,0.94793,0.98923,0.97223,0.98718,0.9222,0.31639,0.31635,0.25821,0.7886,0.00087724,0.00087724,0.00087724
33,1975,0.40103,0.50274,0.32931,0.803,0.98995,0.96825,0.99038,0.95347,0.98995,0.96825,0.99038,0.92293,0.30065,0.32206,0.26036,0.78583,0.00087328,0.00087328,0.00087328
34,2034.59,0.41162,0.51164,0.33748,0.80335,0.97784,0.97884,0.99087,0.93913,0.97784,0.97884,0.99087,0.9089,0.32054,0.35241,0.28018,0.78777,0.00086932,0.00086932,0.00086932
35,2094.04,0.40671,0.51347,0.34482,0.80464,0.9923,0.96296,0.99251,0.95164,0.9923,0.96296,0.99251,0.93252,0.31269,0.35676,0.26187,0.78993,0.00086536,0.00086536,0.00086536
36,2153.85,0.40509,0.52603,0.33125,0.80957,0.9893,0.97854,0.99314,0.94927,0.9893,0.97854,0.99314,0.92589,0.31774,0.34141,0.25648,0.79068,0.0008614,0.0008614,0.0008614
37,2213.32,0.40936,0.50464,0.33714,0.80392,0.99354,0.98413,0.99408,0.95389,0.99354,0.98413,0.99408,0.92674,0.30513,0.34279,0.24457,0.7905,0.00085744,0.00085744,0.00085744
38,2272.92,0.39199,0.49958,0.31384,0.80298,0.98848,0.97884,0.99311,0.94871,0.98848,0.97884,0.99311,0.93488,0.3177,0.31753,0.25088,0.78567,0.00085348,0.00085348,0.00085348
39,2332.11,0.39597,0.49329,0.32284,0.8031,0.98911,0.96142,0.99163,0.95348,0.98911,0.96142,0.99163,0.9301,0.29232,0.34691,0.2466,0.78187,0.00084952,0.00084952,0.00084952
40,2391.72,0.3864,0.49221,0.3225,0.80152,0.98344,0.98942,0.9892,0.95647,0.98344,0.98942,0.9892,0.93629,0.31133,0.3346,0.2414,0.78407,0.00084556,0.00084556,0.00084556
41,2451.65,0.38535,0.47334,0.3248,0.80046,0.99174,0.97354,0.99237,0.95124,0.99174,0.97354,0.99237,0.93054,0.30546,0.30883,0.24434,0.78334,0.0008416,0.0008416,0.0008416
